[2022-12-24 10:03:01,781:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
[2022-12-24 10:03:04,483:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
[2022-12-24 10:03:07,313:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
[2022-12-24 10:03:10,254:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
[2022-12-24 10:03:26,432:INFO:mainLog:MainThread] Media request with index 85 has been added
[2022-12-24 10:03:26,436:INFO:mainLog:MainThread] Media request with index 86 has been added
[2022-12-24 10:03:26,441:INFO:mainLog:MainThread] Media request with index 87 has been added
[2022-12-24 10:03:26,447:INFO:mainLog:MainThread] Media request with index 88 has been added
[2022-12-24 10:03:26,453:INFO:mainLog:MainThread] Media request with index 89 has been added
[2022-12-24 10:03:26,458:INFO:mainLog:MainThread] Text request with index 90 has been added
[2022-12-24 10:03:27,144:INFO:mainLog:MainThread] Text has been processed
[2022-12-24 10:03:27,350:INFO:mainLog:MainThread] Category processed successfully | Arabic: جاكيتات ومعاطف
[2022-12-24 10:03:27,350:INFO:mainLog:MainThread] Options have been populated
[2022-12-24 10:03:27,362:INFO:mainLog:MainThread] Category filling is done
[2022-12-24 10:03:28,506:INFO:mainLog:MainThread] Body request has been sent
[2022-12-24 10:03:28,509:INFO:mainLog:MainThread] Product created successfully with ID: 519756967 | SKU: 110940
[2022-12-24 10:03:30,895:INFO:mainLog:MainThread] Main image upload is successful | Status code: 200 | Reason: OK | Image name: media\photo91.jpg
[2022-12-24 10:03:33,342:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
[2022-12-24 10:03:35,868:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
[2022-12-24 10:03:38,670:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
[2022-12-24 10:03:40,963:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
[2022-12-24 10:03:40,974:INFO:mainLog:MainThread] Media request with index 95 has been added
[2022-12-24 10:03:40,979:INFO:mainLog:MainThread] Media request with index 96 has been added
[2022-12-24 10:03:40,983:INFO:mainLog:MainThread] Media request with index 97 has been added
[2022-12-24 10:03:40,987:INFO:mainLog:MainThread] Media request with index 98 has been added
[2022-12-24 10:03:40,992:INFO:mainLog:MainThread] Media request with index 99 has been added
[2022-12-24 10:03:40,996:INFO:mainLog:MainThread] Text request with index 100 has been added
[2022-12-24 10:03:41,683:INFO:mainLog:MainThread] Text has been processed
[2022-12-24 10:03:41,934:INFO:mainLog:MainThread] Category processed successfully | Arabic: اطقم
